이름,주의사항,성분
MR-10 미스터시크릿,"① 임산부와 수유부는 섭취를 피하십시오.
② 특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오.
③ 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","비타민 B6 염산염, 글루콘산아연, 비타민 B2(Riboflavin), 건조효모, 비타민 D3 혼합제제분말(가루, 과립), MR-10 민들레등복합추출물(Luteolin 0.06mg/g, Isoorientin 0.18mg/g, 제2013-31호), 아미노산혼합(아미노믹스)(BCAA(L-이소로이신, L-로이신 L-발린) 48.19%, L-아르기닌 16.06%, L-글루타민 13.25%, L-라이신염산염 8.84%, L-히스티딘 7.23%, L-글루탐산 4.02%, L-트립토판 2.41%), 산수유추출물(추출액)분말(분말 추출물)(산수유추출고형분 40%, 덱스트린 60%), 호로파(씨)추출물(추출액)분말(분말 추출물), 식물혼합추출물(발효)(식물발효추출물분말Ⅰ(황백당33%,칡3%,솔잎3%,민들레3%,찔레나무3%,쑥3%,뽕잎3%,다래나무3%,생강나무3%,국화2%,사철쑥1%,씀바귀1%,참취0.5%,더덕0.5%,도라지0.5%,달래0.5%,냉이0.5, 스테아린산마그네슘, 녹용추출물(추출액)분말(분말 추출물), 홍삼농축액(농축물)분말(진세노사이드Rg1+Rb1+Rg3의합 1.5%), 옥타코사놀(옥타코사놀 12%), 토마토추출물(추출액)분말(분말 추출물)(토마토추출농축액(고형분: 25%) 80.0%, 덱스트린 14.0%, 유당 6.0%), 타우린, L-아르기닌, 글리세린지방산에스테르, 오징어먹물색소, 카카오색소, 치자청색소, 복분자추출분말(복분자추출액(고형분 8%) 68.8%, 덱스트린 30.3%, 아라비아검 0.9%), 대보농축액분말(가루, 과립)(고형분30%),대보추출액(황기12.65%,당귀12.65%,계피12.65%,감초12.65%,작약11.49%,백출11.49%,천궁10.34%지황10.34%,복령5.74%)70.0%,덱스트린30.0%), 유당혼합(유당 95%, 덱스트린 5%), 비수리(어린 잎)추출물(추출액)분말(분말 추출물)(비수리추출고형분 20%, 덱스트린 80%), 마카추출물(추출액)분말(분말 추출물)(마카추출물 50%, 말토덱스트린 50%), 결정셀룰로오스, 옥수수 전분, 마늘추출물(추출액)분말(분말 추출물)(마늘추출고형분 30%, 덱스트린 70%), 히드록시프로필메틸셀룰로오스"
남양931 플러스,"[밀크씨슬(카르두스 마리아누스) 추출물 제품]① 알레르기 반응이 나타나는 경우에는 섭취 중단 ② 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의","밀크씨슬(카르두스마리아누스)추출물분말(가루, 과립), D-소비톨액, 글리세린, 젤라틴, 혼합제제, 베타카로틴혼합제제분말, 건조효모분말(가루, 과립), 베타인분말(가루, 과립), 멜론추출물(추출액)분말(분말 추출물), 서양민들레추출물분말, 대두레시틴유지(Oil), 효모분말(가루, 과립), 밀납, 구름버섯자실체추출물분말, 굴추출물분말, 알로에 겔분말(가루, 과립)(알로에베라겔분말 200:1), 식물혼합추출물분말(가루, 과립)(사벡스(SAVex)-사철쑥추출분말 66.7%, 오미자추출분말 33.3%), 대두유유지(Oil)"
코엔자임Q10,"① 임산부와 수유부는 섭취를 피하는 것이 좋습니다.
② 특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오.
③ 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","코엔자임 Q10, 젤라틴, 글리세린, D-소비톨액, 카카오색소, 대두유, 밀납(황납), 대두레시틴, 후추추출물"
유니크 프로폴리스 추출물 100,프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의,프로폴리스추출물(고시형)
6년근홍삼정100,,"홍삼, 6년근(고시형)"
홍삼농축액분말18,,홍삼농축액(고시형)
유유인삼농축액M-YY351(수출용),"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","인삼추출액, 인삼농축액"
메가비타민C1000,알레르기 체질이신 경우 성분을 확인 하신 후 섭취하여 주시기 바랍니다.,"비타민C혼합제제, 산화아연(고시형), 결정셀룰로오스, 히드록시프로필메틸셀룰로오스, 초유단백분말, 스테아린산마그네슘, Lactobacillus plantarum분말, 글리세린지방산에스테르"
더징크디1000IU,,"건조효모, 건조효모, 치자황색소, 이산화티타늄, 히드록시프로필메틸셀룰로오스, 스테아린산마그네슘, 이산화규소, 결정셀룰로오스, 건조맥주효모"
홍삼농축액분말12,"①당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
②알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","홍삼농축액(고시형), 덱스트린"
대한민국 간호보ND-1(수출용),임산부 수유부 섭취에 주의,"비타민C(고시형), 헛개나무과병추출분말, 치커리추출분말, 키토올리고당분말(고시형), 키토산분말, 이산화규소, 스테아린산마그네슘, 밀크씨슬추출물분말, 히드록시프로필메틸셀룰로오스"
코엔자임큐텐+(CoQ10+),"(1) 수유부는 섭취를 피할 것
(2) 항응고제 복용 시 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 임산부는 섭취에 주의할 것
(5) 특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취할 것
(6) 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의할 것","코엔자임 Q10(고시형), 아셀렌산나트륨(고시형), 치자청색소, 에틸바닐린, 이산화티타늄, 치자황색소, 치자적색소, 글리세린, 젤라틴, 콩기름(대두유), 밀납, 생선콜라겐, 레시틴, 히알루론산(고시형)"
로얄 프로폴리스 플라보노이드17 3종 복합 기능성,"* 프로폴리스추출물
① 프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의","프로폴리스추출물(고시형), 아셀렌산나트륨(고시형), 산화아연(고시형), 스테아린산마그네슘, 동결건조로얄젤리분말, 카복시메틸셀룰로스칼슘, 유당, 결정셀룰로스"
6년근고려홍삼정100,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",홍삼농축액(고시형)
11종혼합유산균 아이(I),"① 알레르기 체질인 경우 성분을 확인 후 섭취
② 제품의 포장지에 의해 상처를 입을 수 있으니 주의","Lactiplantibacillus plantarum(고시형), Bifidobacterium animalis ssp. lactis(고시형), Lacticaseibacillus rhamnosus(고시형), Streptococcusthermophilus(고시형), Bifidobacteriumlongum(고시형), Bifidobacteriumbifidum(고시형), Lactobacillusgasseri(고시형), Lactobacillusbulgaricus(고시형), Lactobacillusacidophilus(고시형), Limosilactobacillus reuteri(고시형), Bifidobacteriumbreve(고시형), 덱스트린"
홍삼농축액 11,"당뇨치료제 및 혈액항응고제 복용시 섭취에 주의.
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음.
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것.",홍삼농축액(고시형)
홍삼농축액 13,"당뇨치료제 및 혈액항응고제 복용시 섭취에 주의.
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음.
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것.",홍삼농축액(고시형)
홍삼농축액 15,"당뇨치료제 및 혈액항응고제 복용시 섭취에 주의.
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음.
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것.",홍삼농축액(고시형)
저온진공건조홍삼농축액10,"당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",홍삼농축액(고시형)
홍삼농축액15,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",홍삼농축액(고시형)
19종혼합유산균-P,"① 알레르기 체질인 경우 성분을 확인 후 섭취
② 제품의 포장지에 의해 상처를 입을 수 있으니 주의","Lactiplantibacillus plantarum(고시형), Lacticaseibacillus paracasei(고시형), Lacticaseibacillus rhamnosus(고시형), Enterococcusfaecium(고시형), Enterococcusfaecalis(고시형), Bifidobacteriumlongum(고시형), Bifidobacteriumbifidum(고시형), Bifidobacteriumbreve(고시형), Bifidobacterium animalis ssp. lactis(고시형), Bifidobacterium infantis, Lacticaseibacillus casei(고시형), Lactobacillusacidophilus(고시형), Streptococcusthermophilus(고시형), Lactococcus lactis(고시형), Lactobacillushelveticus(고시형), Ligilactobacillus salivarius(고시형), Lactobacillusgasseri(고시형), Limosilactobacillus fermentum(고시형), Lactobacillusbulgaricus(고시형), Limosilactobacillus reuteri(고시형), 덱스트린"
로얄지쓰리100,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼농축액분말, 대추농축분말, 비타민B2(고시형), 비타민 B6(고시형)"
유니비이 수용성 프로폴리스 추출물 100,프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의,"프로폴리스추출물(고시형), L-아르지닌"
착한그린프로폴리스1,프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의,"프로폴리스추출물(고시형), 벌꿀분말, 비타민 C, l-멘톨, 이산화규소, 건조효모(셀렌함유), 혼합제제비타민D3분말, 산화아연, Lactobacillus acidophilus(고시형), Lactiplantibacillus plantarum(고시형)"
비타민BC1000,,"비타민C(고시형), 비타민B2(고시형), D-소르비톨, 스테아린산마그네슘"
차전자피100,반드시 충분한 물과 함께 섭취할 것,차전자피분말
튼튼닷컴 튼튼키즈 유산균 19,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
질환이 있거나 의약품 복용 시 전문가와 상담할 것
알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
이상사례 발생 시 섭취르 중단하고 전문가와 상담할 것","프로바이오틱스(고시형), 요구르트 혼합, 갈락토올리고당, 이산화규소, 올리고당, 혼합유당, 치커리뿌리추출물, 분말결정포도당, 식물성크림혼합분말"
비타민D 1000 Q,"① 임산부, 수유여성 및 어린이는 섭취에 주의하십시오.
② 특정 성분에 알레르기가 있으신 분은 원료명 확인 후 섭취하십시오.
③ 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","비타민 D3 혼합제제분말, 비타민 C, 심황색소, 덱스트린, 탄산칼슘혼합제제, 결정셀룰로스, 카복시메틸스타치나트륨, 유당혼합분말, 시클로덱스트린, 스테아린산마그네슘, 이산화규소, 히드록시프로필메틸셀룰로스, 글리세린지방산에스테르"
4년근발효홍삼농축액11,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 4년근(고시형)"
6년근발효홍삼농축액11,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 6년근(고시형)"
코엔자임Q10,"① 알레르기 체질이신분은 성분을 확인한 후 섭취하십시오
② 영.유아, 임신.수유부나 질환보유자 또는 약물 복용중이신분은 의사, 약사 등 전문가와 상의하십시오
③ 포장재질에 의해 다칠 수 있으니 주의 하십시오","코엔자임 Q10(고시형), 오징어먹물색소, 젤라틴(돼지), 글리세린, D-소르비톨액, 아마씨유"
6년근홍삼농축액분말11,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 6년근(고시형)"
로셀10억프로바이오틱스정,"①알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.
②제품을 개봉할 때 혹 포장재에 의해 상처를 입을 수 있으니 주의 하십시오.","Lactobacillushelveticus(고시형), Lactiplantibacillus plantarum(고시형), Lacticaseibacillus rhamnosus(고시형), Bifidobacteriumbifidum(고시형), Bifidobacteriumlongum(고시형), Enterococcusfaecium(고시형), Streptococcusthermophilus(고시형), Lactobacillusacidophilus(고시형), 치커리식이섬유, 프락토올리고당, 요거트혼합분말, 요구르트향분말, 분말유크림, 아가베시럽분말, 자일리톨, D-소르비톨, 포도당, 이산화규소, 이소말트, 구연산, 스테아린산마그네슘, 수크랄로스"
4년근홍삼농축액분말18,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 4년근(고시형)"
4년근발효홍삼농축액분말11,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 4년근(고시형)"
4년근발효홍삼농축액분말13,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 4년근(고시형)"
4년근발효홍삼농축액분말18,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 4년근(고시형)"
6년근발효홍삼농축액분말11,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 6년근(고시형)"
6년근발효홍삼농축액분말13,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 6년근(고시형)"
6년근발효홍삼농축액분말18,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 6년근(고시형)"
6년근홍삼농축액분말18,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의","홍삼, 6년근(고시형)"
비타민C 1000Q,"① 임산부, 수유여성 및 어린이는 섭취에 주의하십시오.
② 특정 성분에 알레르기가 있으신 분은 원료명 확인 후 섭취하십시오.
③ 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","비타민 C, 심황색소, 유당혼합분말, 결정셀룰로오스, 카르복시메틸스타치나트륨, 히드록시프로필메틸셀룰로오스, 시클로덱스트린, 스테아린산마그네슘, 이산화규소, 글리세린지방산에스테르"
비타민D 1000Q연질캡슐,"① 임산부와 수유부는 섭취에 주의하십시오.
② 특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오.
③ 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","비타민 D3 혼합제제유지, 젤라틴, 글리세린, D-소르비톨액, 심황색소, 이산화티타늄, 콩기름(대두유), 심황색소, 밀납, 대두레시틴"
튼튼닷컴 코엔자임Q10,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
동봉된 방습제는 절대 섭취하지 마십시오.
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
수유부는 섭취를 피할 것
항응고제 복용 시 전문가와 상담할 것","비타민 B6(고시형), 비타민 A(고시형), 코엔자임 Q10(고시형), 비타민 E(고시형), 산화아연(고시형), 비타민 B1(고시형), 비타민 B2(고시형), 엽산(고시형), 글리세린, 젤라틴, D-소비톨액, 안나토색소, 콩기름(대두유), EPA및DHA함유유지(고시형), 밀납(백납), 레시틴, 비타민 C(고시형), 셀레늄(고시형)"
휴먼네이처 프로바이오틱스 솔루션17,"프로바이오틱스
1. 질환이 있거나 의약품 복용 시 전문가와 상담할 것
2. 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
3. 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
4. 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","Bifidobacterium longum(고시형), Lactiplantibacillus plantarum(고시형), 프로바이오틱스(고시형), Bifidobacterium animalis ssp. lactis(고시형), Lacticaseibacillus rhamnosus(고시형), Streptococcus thermophilus(고시형), 정제수, 히드록시프로필메틸셀룰로스, 유산균배양건조물, 유산균배양건조물, 유산균배양건조물, 스테아린산마그네슘, 이산화규소, 난소화성말토덱스트린(고시형), 프락토올리고당, 자일로올리고당, 갈락토올리고당, 치커리식이섬유"
애터미 퓨어 스피루리나 100%,"1) 특이체질, 알레르기 체질의 경우에는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인한 후 섭취하십시오.
2) 용기 안의 방습제는 섭취하지 마십시오.
3) 소비기한이 경과된 제품은 섭취하지 마십시오.
4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","스피루리나(고시형), 히드록시프로필메틸셀룰로스"
비에프-엘(BF-L)얼라이브17 프로바이오틱스300,"① 특이체질, 알레르기 체질인 경우 전문가와 상담 후 섭취여부를 결정하세요.
② 임신, 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담 후 섭취하세요. 
③ 이상증상이 생길 경우, 섭취를 중단하고, 전문가와 상담하시거나 고객상담실로 문의하시기 바랍니다","유산균혼합분말, 비타민 B1염산염, 글루콘산아연(고시형), 비타민 B6 염산염, 비타민 B2, 비타민 C, 구연산, 효소처리스테비아분말, Bacillus subtilis, 아가베시럽분말, 갈락토올리고당, 에리스리톨, 블루베리향분말, 블루베리농축분말, 프락토올리고당, 이소말트, 덱스트린, 치커리식이섬유, 폴리덱스트로스, 분말결정포도당"
